"id","tweet_id","retweet_count","tweet_created","tweet_location","text","airline","airline_sentiment"
1,"5,70301130888122E+017",0,"2015-02-24 11:15:59 -0800",,"@VirginAmerica plus you've added commercials to the experience... tacky.","Virgin America",1
5,"5,70300767074181E+017",0,"2015-02-24 11:14:33 -0800",,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.  it's really the only bad thing about flying VA","Virgin America",-1
6,"5,70300616901321E+017",0,"2015-02-24 11:13:57 -0800","San Francisco CA","@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)","Virgin America",1
9,"5,70295459631264E+017",0,"2015-02-24 10:53:27 -0800","Los Angeles","@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.","Virgin America",1
11,"5,70289724453216E+017",0,"2015-02-24 10:30:40 -0800","NYC","@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D","Virgin America",1
12,"5,70289584061481E+017",0,"2015-02-24 10:30:06 -0800","NYC","@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p","Virgin America",1
14,"5,70285904809599E+017",0,"2015-02-24 10:15:29 -0800","San Francisco, CA","@VirginAmerica Thanks!","Virgin America",1
15,"5,70282469121008E+017",0,"2015-02-24 10:01:50 -0800","palo alto, ca","@VirginAmerica SFO-PDX schedule is still MIA.","Virgin America",-1
17,"5,70276917301137E+017",0,"2015-02-24 09:39:46 -0800","this place called NYC","@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!","Virgin America",-1
18,"5,70270684619923E+017",0,"2015-02-24 09:15:00 -0800","Somewhere celebrating life. ","I ❤️ flying @VirginAmerica. ☺️👍","Virgin America",1
19,"5,70267956648792E+017",0,"2015-02-24 09:04:10 -0800","Boston | Waltham","@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.","Virgin America",1
20,"5,70265883513385E+017",0,"2015-02-24 08:55:56 -0800",,"@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???","Virgin America",-1
21,"5,70264145116819E+017",0,"2015-02-24 08:49:01 -0800",,"@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA","Virgin America",1
22,"5,70259420287869E+017",0,"2015-02-24 08:30:15 -0800","Los Angeles","@VirginAmerica I love the hipster innovation. You are a feel good brand.","Virgin America",1
24,"5,70256553502069E+017",0,"2015-02-24 08:18:51 -0800",714,"@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet","Virgin America",-1
28,"5,70207886493782E+017",0,"2015-02-24 05:05:28 -0800","San Mateo, CA & Las Vegas, NV","@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS","Virgin America",-1
30,"5,70114021854212E+017",0,"2015-02-23 22:52:29 -0800",,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢","Virgin America",-1
32,"5,70088404156699E+017",0,"2015-02-23 21:10:41 -0800","Washington DC","@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!","Virgin America",-1
33,"5,70084582780899E+017",0,"2015-02-23 20:55:30 -0800",,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(","Virgin America",-1
34,"5,70076792993612E+017",0,"2015-02-23 20:24:33 -0800","Texas","@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews","Virgin America",1
36,"5,70051381534396E+017",0,"2015-02-23 18:43:35 -0800","Central Texas","@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday","Virgin America",1
37,"5,70045393565692E+017",0,"2015-02-23 18:19:47 -0800","Central Texas","@VirginAmerica @freddieawards Done and done! Best airline around, hands down!","Virgin America",1
39,"5,70035876845085E+017",0,"2015-02-23 17:41:58 -0800","San Francisco, CA","@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk","Virgin America",-1
45,"5,7001225754907E+017",0,"2015-02-23 16:08:07 -0800","Los Angeles","@VirginAmerica I'm #elevategold for a good reason: you rock!!","Virgin America",1
51,"5,70006886012973E+017",0,"2015-02-23 15:46:46 -0800","Northern Virginia","@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood","Virgin America",1
55,"5,69996412286583E+017",0,"2015-02-23 15:05:09 -0800","new york, new york","@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!","Virgin America",-1
57,"5,69990222609412E+017",0,"2015-02-23 14:40:33 -0800","Bali, Republic of Indonesia","@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊","Virgin America",1
61,"5,69989034501501E+017",0,"2015-02-23 14:35:50 -0800","New York, NY","@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!","Virgin America",-1
68,"5,69972508499284E+017",0,"2015-02-23 13:30:10 -0800","New York, NY","@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV","Virgin America",1
69,"5,69967019958731E+017",0,"2015-02-23 13:08:21 -0800","New York + Panama","@VirginAmerica everything was fine until you lost my bag","Virgin America",-1
75,"5,69941957490774E+017",0,"2015-02-23 11:28:46 -0800","Dallas, Texas","@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?","Virgin America",1
78,"5,69935232033366E+017",0,"2015-02-23 11:02:02 -0800",,"@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.","Virgin America",-1
80,"5,69933816963342E+017",0,"2015-02-23 10:56:25 -0800",,"@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness","Virgin America",-1
81,"5,69933777931145E+017",0,"2015-02-23 10:56:16 -0800","Seattle, WA","@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G","Virgin America",1
82,"5,6993340550631E+017",0,"2015-02-23 10:54:47 -0800","Los Angeles","@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(","Virgin America",-1
83,"5,69933360564343E+017",0,"2015-02-23 10:54:36 -0800",,"@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness","Virgin America",-1
85,"5,69926998824395E+017",0,"2015-02-23 10:29:19 -0800","Lower Pacific Heights, SF, CA","@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R","Virgin America",-1
93,"5,69911674158731E+017",0,"2015-02-23 09:28:26 -0800",,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin","Virgin America",-1
101,"5,69892199690678E+017",0,"2015-02-23 08:11:03 -0800",,"@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax","Virgin America",-1
103,"5,69891436100874E+017",0,"2015-02-23 08:08:01 -0800","Floridian from Cincinnati ","@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky","Virgin America",-1
104,"5,69887310713479E+017",0,"2015-02-23 07:51:37 -0800",,"@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.","Virgin America",-1
106,"5,69884551712887E+017",0,"2015-02-23 07:40:39 -0800",,"@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm","Virgin America",-1
107,"5,69884407852438E+017",0,"2015-02-23 07:40:05 -0800",,"@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.","Virgin America",-1
109,"5,69873669700358E+017",0,"2015-02-23 06:57:25 -0800","Washington, DC","@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare","Virgin America",1
111,"5,69873665640292E+017",0,"2015-02-23 06:57:24 -0800","New York City, NY","@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare","Virgin America",1
113,"5,69872058613674E+017",0,"2015-02-23 06:51:01 -0800",,"@VirginAmerica Have a great week 🌞✈","Virgin America",1
114,"5,69861209781989E+017",0,"2015-02-23 06:07:54 -0800","Earth","@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH","Virgin America",1
115,"5,69847920192655E+017",0,"2015-02-23 05:15:06 -0800",,"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?","Virgin America",-1
116,"5,69814339785339E+017",0,"2015-02-23 03:01:39 -0800","Halifax, Nova Scotia, Canada","@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience","Virgin America",1
118,"5,6977407823342E+017",0,"2015-02-23 00:21:40 -0800","Near a park, water, or lights","@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.","Virgin America",1
119,"5,69770363623576E+017",0,"2015-02-23 00:06:55 -0800","USA","@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining","Virgin America",1
120,"5,69748316776325E+017",0,"2015-02-22 22:39:18 -0800","San Francisco CA","@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?","Virgin America",-1
122,"5,69737603617944E+017",0,"2015-02-22 21:56:44 -0800",,"@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370","Virgin America",-1
127,"5,69652497947734E+017",0,"2015-02-22 16:18:33 -0800",,"@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue","Virgin America",1
130,"5,69642845516276E+017",0,"2015-02-22 15:40:12 -0800",,"@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.","Virgin America",-1
133,"5,69633279546036E+017",0,"2015-02-22 15:02:11 -0800",,"@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!","Virgin America",-1
135,"5,69627480425767E+017",0,"2015-02-22 14:39:09 -0800","Oakland, California","@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise","Virgin America",-1
